matrix,one_percentage
74L85.000,15.152%
74L85.001,38.636%
74L85.002,28.788%
74L85.003,12.121%
74L85.004,39.394%
74L85.005,3.03%
74L85.006,21.212%
74L85.007,28.788%
74L85.008,29.293%
74L85.009,12.121%
74L85.010,29.697%
74L85.011,21.97%
74L85.012,32.121%
74L85.013,13.636%
74L85.014,29.798%
74L85.015,23.232%
74L85.016,21.212%
74L85.017,31.515%
74L85.018,23.03%
74L85.019,20.202%
74L85.020,16.017%
74L85.021,12.879%
74L85.022,26.936%
74L85.023,23.906%
74L85.024,15.152%
74L85.025,19.697%
74L85.026,36.7%
74L85.027,19.394%
