matrix,one_percentage
c1908.000,1.136%
c1908.001,1.42%
c1908.002,1.591%
c1908.003,13.738%
c1908.004,14.432%
c1908.005,3.409%
c1908.008,12.756%
c1908.009,3.561%
c1908.010,14.151%
c1908.011,16.396%
c1908.012,11.029%
c1908.013,11.792%
c1908.014,10.958%
c1908.015,11.382%
c1908.018,1.553%
c1908.019,1.182%
c1908.020,1.52%
c1908.021,11.845%
c1908.022,1.237%
c1908.023,7.955%
c1908.024,15.219%
c1908.025,9.808%
c1908.028,9.483%
c1908.029,10.754%
c1908.030,8.636%
c1908.031,14.301%
c1908.032,3.25%
c1908.033,15.312%
c1908.034,8.977%
c1908.035,8.583%
c1908.038,1.526%
c1908.039,1.258%
c1908.040,14.953%
c1908.041,7.487%
c1908.042,8.607%
c1908.043,10.852%
c1908.044,6.523%
c1908.045,4.007%
c1908.048,6.235%
c1908.049,4.516%
c1908.050,5.622%
c1908.051,3.343%
c1908.052,9.557%
c1908.053,12.24%
c1908.054,4.704%
c1908.055,12.691%
c1908.058,4.577%
c1908.059,5.517%
c1908.060,9.032%
c1908.061,6.092%
c1908.062,5.841%
c1908.063,1.879%
c1908.064,4.479%
c1908.065,11.626%
c1908.068,3.854%
c1908.069,6.73%
c1908.070,10.082%
c1908.071,5.622%
c1908.072,2.02%
c1908.073,4.167%
c1908.074,4.57%
c1908.075,2.744%
c1908.078,5.136%
c1908.079,11.62%
c1908.080,7.549%
c1908.081,3.32%
c1908.082,6.712%
c1908.083,3.486%
c1908.084,3.769%
c1908.085,2.923%
c1908.088,8.487%
c1908.089,5.781%
c1908.090,5.157%
c1908.091,3.081%
c1908.092,5.465%
c1908.093,4.894%
c1908.094,2.609%
c1908.095,3.554%
c1908.098,1.916%
c1908.099,4.832%
c1908.100,4.267%
c1908.101,4.25%
c1908.102,3.404%
c1908.103,4.797%
c1908.104,3.801%
c1908.105,4.069%
c1908.108,3.253%
c1908.109,2.514%
c1908.110,3.903%
c1908.111,2.667%
c1908.112,4.486%
c1908.113,3.318%
c1908.114,2.268%
c1908.115,2.283%
c1908.118,2.936%
c1908.119,3.078%
c1908.120,2.748%
c1908.121,2.296%
c1908.122,3.841%
c1908.123,3.193%
c1908.124,5.175%
c1908.125,3.359%
c1908.128,2.028%
c1908.129,3.606%
c1908.130,3.042%
c1908.131,2.972%
c1908.132,3.54%
c1908.133,2.534%
c1908.134,4.975%
c1908.135,2.133%
c1908.138,3.313%
c1908.139,3.982%
c1908.140,3.229%
c1908.142,2.767%
c1908.143,2.822%
c1908.144,2.045%
c1908.145,3.425%
c1908.148,3.464%
c1908.149,2.298%
c1908.150,2.924%
c1908.151,2.134%
c1908.152,2.46%
c1908.153,2.735%
c1908.154,2.336%
c1908.155,2.949%
c1908.158,2.001%
c1908.159,3.128%
